,year,selling_price,transmission,engine,max_power,torque
0,2014,450000,1,13,242,178
1,2014,370000,1,36,13,260
2,2006,158000,1,35,251,66
3,2010,225000,1,24,295,224
4,2007,130000,1,14,286,21
5,2017,440000,1,10,261,36
6,2007,96000,1,1,193,402
7,2001,45000,1,112,170,388
8,2011,350000,1,19,222,144
9,2013,200000,1,25,226,139
10,2014,500000,1,29,23,249
11,2005,92000,1,117,200,411
12,2009,280000,1,13,239,178
14,2009,180000,1,1,218,415
15,2016,400000,1,11,262,54
16,2016,778000,1,13,287,193
17,2012,500000,1,24,295,224
18,2002,150000,1,112,178,398
19,2016,680000,1,24,290,221
20,2011,174000,1,29,210,139
21,2017,950000,1,36,311,193
22,2015,525000,1,13,242,178
23,2012,600000,1,13,292,193
24,2018,500000,1,12,272,49
25,2016,575000,1,10,268,55
26,2017,275000,1,112,180,400
27,2013,300000,1,13,238,148
28,2009,220000,1,1,218,415
29,2018,254999,1,112,167,388
30,2017,670000,1,13,287,193
32,2012,150000,1,112,168,390
33,2018,730000,1,10,260,48
34,2017,650000,1,13,287,193
35,2019,330000,1,112,175,392
36,2019,366000,1,119,222,424
37,2019,1149000,1,42,49,127
38,2016,150000,1,11,218,10
39,2011,425000,1,71,69,302
40,2012,150000,1,112,170,388
41,2019,2100000,0,20,99,266
42,2018,925000,1,35,40,115
43,2013,425000,1,35,36,118
44,2018,675000,0,10,270,55
45,2018,819999,1,13,287,193
46,2018,390000,1,119,220,424
47,2014,1500000,1,102,109,318
48,2013,700000,1,85,0,191
49,2014,1450000,0,69,47,189
50,2015,425000,1,36,312,193
51,2013,1090000,1,82,121,351
52,2015,600000,1,36,311,193
53,2018,850000,1,30,9,98
54,2015,525000,1,36,311,193
55,2016,1650000,0,96,116,328
56,2016,950000,1,85,3,188
57,2013,1750000,0,59,117,335
58,2018,1590000,0,53,69,150
59,2013,1689999,0,59,135,350
60,2013,1425000,0,69,112,346
61,2011,265000,1,13,292,192
62,2011,190000,1,10,253,32
63,2013,425000,1,24,291,219
64,2015,630000,1,13,242,178
65,2017,600000,1,9,283,34
66,2019,650000,1,10,268,55
67,2016,540000,1,36,24,261
68,2015,630000,1,36,311,193
69,2018,448000,0,119,218,424
70,2017,500000,1,36,27,261
71,2016,745000,1,13,287,193
72,2019,1025000,0,13,287,193
73,2011,235000,1,10,253,32
74,2016,630000,1,13,242,178
75,2015,1700000,1,102,109,318
76,2013,450000,1,13,242,178
77,2012,450000,1,21,302,85
79,2013,450000,1,46,14,260
80,2016,1200000,1,85,3,188
81,2015,610000,1,36,310,199
82,2016,2500000,0,66,137,283
83,2017,484999,1,119,219,424
84,2016,275000,1,11,220,10
